InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV000001,SC8270,Ceramic Bowl,42,2023-01-01 00:00:00.000000,110.22,C00070,Belgium
INV000002,SC1860,Wall Clock,47,2023-01-01 01:44:51.178235,111.29,C00031,Spain
INV000003,SC6390,Glass Vase,28,2023-01-01 03:29:42.356471,99.47,C00093,Japan
INV000004,SC6191,Bamboo Tray,14,2023-01-01 05:14:33.534706,35.42,C00137,Australia
INV000005,SC6734,Wall Clock,4,2023-01-01 06:59:24.712942,64.32,C00374,United Kingdom
INV000006,SC7265,Throw Pillow,20,2023-01-01 08:44:15.891178,127.17,C00163,United Kingdom
INV000007,SC1466,Ceramic Bowl,34,2023-01-01 10:29:07.069413,101.02,C00081,United Kingdom
INV000008,SC5426,Scented Candle,12,2023-01-01 12:13:58.247649,110.32,C00316,United Kingdom
INV000009,SC6578,Wooden Frame,33,2023-01-01 13:58:49.425885,88.73,C00076,Netherlands
INV000010,SC9322,Cotton Bag,24,2023-01-01 15:43:40.604120,68.26,C00063,France
INV000011,SC2685,Wall Clock,20,2023-01-01 17:28:31.782356,114.22,C00100,Germany
INV000012,SC1769,Scented Candle,5,2023-01-01 19:13:22.960592,11.59,C00048,United Kingdom
INV000013,SC7949,Scented Candle,38,2023-01-01 20:58:14.138827,101.46,C00074,United Kingdom
INV000014,SC3433,Wall Clock,30,2023-01-01 22:43:05.317063,149.58,C00314,United Kingdom
INV000015,SC6311,Scented Candle,24,2023-01-02 00:27:56.495299,117.36,C00192,United Kingdom
INV000016,SC6051,Glass Vase,43,2023-01-02 02:12:47.673534,44.65,C00030,Spain
INV000017,SC7420,Scented Candle,40,2023-01-02 03:57:38.851770,42.76,C00157,United Kingdom
INV000018,SC2184,Bamboo Tray,7,2023-01-02 05:42:30.030006,100.58,C00266,Spain
INV000019,SC5555,Metal Lantern,36,2023-01-02 07:27:21.208241,134.53,C00256,Germany
INV000020,SC4385,Glass Vase,38,2023-01-02 09:12:12.386477,87.33,C00039,United Kingdom
INV000021,SC7396,Scented Candle,16,2023-01-02 10:57:03.564712,79.82,C00055,USA
INV000022,SC9666,Throw Pillow,15,2023-01-02 12:41:54.742948,25.32,C00028,Australia
INV000023,SC3558,Wooden Frame,46,2023-01-02 14:26:45.921184,107.75,C00118,United Kingdom
INV000024,SC8849,Ceramic Bowl,23,2023-01-02 16:11:37.099419,105.79,C00370,Belgium
INV000025,SC3047,Scented Candle,12,2023-01-02 17:56:28.277655,145.09,C00209,United Kingdom
INV000026,SC3747,Vintage Mug,29,2023-01-02 19:41:19.455891,46.08,C00075,United Kingdom
INV000027,SC1189,Wooden Frame,44,2023-01-02 21:26:10.634126,113.83,C00065,Spain
INV000028,SC3734,Throw Pillow,48,2023-01-02 23:11:01.812362,65.96,C00337,Netherlands
INV000029,SC4005,Bamboo Tray,15,2023-01-03 00:55:52.990598,84.43,C00356,United Kingdom
INV000030,SC5658,Scented Candle,29,2023-01-03 02:40:44.168833,122.74,,United Kingdom
INV000031,SC2899,Bamboo Tray,45,2023-01-03 04:25:35.347069,34.47,C00046,USA
INV000032,SC8734,Scented Candle,43,2023-01-03 06:10:26.525305,52.42,C00316,United Kingdom
INV000033,SC2267,Cotton Bag,49,2023-01-03 07:55:17.703540,116.34,C00393,United Kingdom
INV000034,SC2528,Metal Lantern,21,2023-01-03 09:40:08.881776,86.21,C00156,France
INV000035,SC4556,Bamboo Tray,15,2023-01-03 11:25:00.060012,15.22,C00240,Belgium
INV000036,SC4890,Metal Lantern,14,2023-01-03 13:09:51.238247,65.38,C00353,United Kingdom
INV000037,SC9838,Wooden Frame,42,2023-01-03 14:54:42.416483,88.62,C00259,Spain
INV000038,SC6393,Cotton Bag,44,2023-01-03 16:39:33.594718,136.56,C00136,Australia
INV000039,SC9792,Ceramic Bowl,16,2023-01-03 18:24:24.772954,29.49,C00370,Germany
INV000040,SC9433,Glass Vase,15,2023-01-03 20:09:15.951190,121.18,C00198,Spain
INV000041,SC8513,Metal Lantern,42,2023-01-03 21:54:07.129425,20.9,C00187,Japan
INV000042,SC3612,Cotton Bag,4,2023-01-03 23:38:58.307661,37.47,C00116,United Kingdom
INV000043,SC8041,Metal Lantern,27,2023-01-04 01:23:49.485897,37.64,C00058,United Kingdom
INV000044,SC7235,Wall Clock,23,2023-01-04 03:08:40.664132,131.81,C00070,Belgium
INV000045,SC6486,Throw Pillow,29,2023-01-04 04:53:31.842368,31.05,C00093,Netherlands
INV000046,SC8099,Ceramic Bowl,41,2023-01-04 06:38:23.020604,118.36,C00229,Germany
INV000047,SC1775,Throw Pillow,9,2023-01-04 08:23:14.198839,70.08,C00396,Australia
INV000048,SC9226,Scented Candle,43,2023-01-04 10:08:05.377075,149.86,C00137,Spain
INV000049,SC4152,Metal Lantern,43,2023-01-04 11:52:56.555311,126.11,C00105,Spain
